 flight_date | plane_tail_number | flight1_arrival_time | flight2_departure_time | origin_city_name |    stop_city_name     | dest_city_name | total_time | total_distance 
 22/1/2018   | N68834            | 15:20                | 16:58                  | Seattle, WA      | Washington, DC        | Boston, MA     |        366 |           2719
 12/1/2019   | N809DN            | 08:49                | 09:57                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        366 |           2794
 24/1/2019   | N463UA            | 15:15                | 17:45                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        367 |           2602
 26/1/2019   | N584UW            | 13:24                | 20:28                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        367 |           3007
 4/1/2016    | N61882            | 21:16                | 22:20                  | Seattle, WA      | Washington, DC        | Boston, MA     |        368 |           2719
 31/1/2019   | N539UW            | 13:31                | 14:37                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        368 |           3007
 9/1/2018    | N37700            | 21:36                | 23:23                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        369 |           2794
 23/1/2018   | N3733Z            | 21:56                | 23:19                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        370 |           2794
 1/1/2019    | N3763D            | 10:24                | 15:08                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        372 |           3248
 13/1/2019   | N8583Z            | 20:15                | 21:28                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        373 |           2594
 10/1/2016   | N310NW            | 16:45                | 19:54                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        373 |           2794
 18/1/2017   | N3ANAA            | 17:45                | 18:36                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        374 |           2588
 15/1/2019   | N896DN            | 09:10                | 09:57                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        375 |           2794
 7/1/2019    | N560UW            | 05:39                | 11:16                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        375 |           3007
 5/1/2017    | N532NK            | 08:09                | 22:28                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        375 |           3248
 9/1/2019    | N521UW            | 19:30                | 20:53                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        376 |           3007
 23/1/2018   | N980UY            | 05:51                | 11:24                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        377 |           3007
 3/1/2016    | N573UW            | 08:23                | 22:24                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        378 |           3007
 16/1/2018   | N3752             | 21:47                | 23:21                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        380 |           2794
 3/1/2016    | N573UW            | 08:23                | 09:33                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        383 |           3007
 3/1/2019    | N196UW            | 19:36                | 20:33                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        385 |           3007
 13/1/2018   | N990AU            | 05:36                | 18:24                  | Seattle, WA      | Dallas/Fort Worth, TX | Boston, MA     |        389 |           3222
 21/1/2017   | N551AA            | 21:22                | 22:47                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        390 |           3007
 25/1/2017   | N521NK            | 08:16                | 21:53                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        390 |           3248
 14/1/2019   | N864DN            | 09:00                | 10:04                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        392 |           2794
 13/1/2017   | N474UA            | 09:17                | 16:19                  | Seattle, WA      | San Francisco, CA     | Boston, MA     |        392 |           3383
 1/1/2016    | N187US            | 08:32                | 09:41                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        394 |           3007
 2/1/2016    | N154UW            | 08:36                | 09:33                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        397 |           3007
 31/1/2016   | N649AW            | 21:33                | 23:21                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        397 |           3407
 26/1/2017   | N3CKAA            | 14:49                | 16:13                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        398 |           3407
 4/1/2016    | N542UW            | 08:41                | 09:38                  | Seattle, WA      | Charlotte, NC         | Boston, MA     |        399 |           3007
 21/1/2017   | N3MAAA            | 14:44                | 16:19                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        399 |           3407
 30/1/2016   | N664AW            | 21:22                | 22:41                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        399 |           3407
 24/1/2016   | N668AW            | 21:23                | 23:49                  | Seattle, WA      | Phoenix, AZ           | Boston, MA     |        399 |           3407
 20/1/2017   | N505NK            | 08:18                | 22:32                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        400 |           3248
 13/1/2017   | N507NK            | 08:31                | 22:06                  | Seattle, WA      | Las Vegas, NV         | Boston, MA     |        400 |           3248
